id,SiteStatusRef,SiteStatus,Ordinal,createdAt,updatedAt
1,UA,Unavailable,1,2020-09-03 10:00:20.609+02,2020-09-03 10:00:20.609+02
2,US,Unsuitable,2,2020-09-03 10:00:20.609+02,2020-09-03 10:00:20.609+02
5,AV,Available,3,2020-09-03 10:00:20.609+02,2020-09-03 10:00:20.609+02
6,RS,Reserved,4,2020-09-03 10:00:20.609+02,2020-09-03 10:00:20.609+02
7,OW,Owned,5,2020-09-03 10:00:20.609+02,2020-09-03 10:00:20.609+02
9,BS,Bulk-buyer,6,2020-09-03 10:00:20.609+02,2020-09-03 10:00:20.609+02
